date,symbol,open,high,low,close,macd,macd_signal_line,macd_hist,atr,bolling_middle_band,bolling_upper_band,bolling_lower_band,bolling_upper_diff,bolling_lower_diff,lrs,highest_high,lowest_low,pcn_highest_high,pcn_lowest_low,rmi,rsi,smi
1981-03-16,AAPL,0.0806971564888954,0.0815694990918217,0.0806971564888954,0.0806971564888954,-0.005,-0.0045,-0.0005,0.0029,0.0864,0.0978,0.075,-0.01713437821551185,0.005728691193302646,-0.0012,,,0.0829,0.0755,18.1123,33.3333,-48.8034
1981-03-17,AAPL,0.0846226960420608,0.0854950386527386,0.0846226960420608,0.0846226960420608,-0.0045,-0.0045,0.0,0.0031,0.086,0.0972,0.0748,-0.01261370937956316,0.009859101463684766,-0.0012,,,0.0816,0.0755,31.5376,39.2857,-6.5059
1981-03-18,AAPL,0.089856781065464,0.0907291239611666,0.089856781065464,0.089856781065464,-0.0037,-0.0044,0.0007,0.0033,0.0858,0.0964,0.0752,-0.006550317936160427,0.014663880067088436,-0.0009,,,0.0855,0.0755,44.4288,46.6667,33.1048
1981-03-19,AAPL,0.0894205683829299,0.0894205683829299,0.0889844000339508,0.0889844000339508,-0.003,-0.0041,0.0011,0.0031,0.0858,0.0964,0.0752,-0.007394412765520789,0.013763212833422397,-0.0006,,,0.0907,0.0776,54.2697,44.8276,53.2237
1981-03-20,AAPL,0.089856781065464,0.0907291239611666,0.089856781065464,0.089856781065464,-0.0025,-0.0038,0.0013,0.003,0.086,0.0967,0.0753,-0.006855000644482245,0.014568562775410271,-0.0002,,,0.0907,0.0776,60.6944,46.4286,64.4933
1981-03-23,AAPL,0.0933468788862228,0.0942192212757611,0.0933468788862228,0.0933468788862228,-0.0016,-0.0033,0.0017,0.0031,0.0864,0.0976,0.0752,-0.0042304255080102965,0.018124183280455883,0.0003,,,0.0907,0.0807,65.908,51.7241,71.3062
1981-03-24,AAPL,0.0933469126905996,0.0933469126905996,0.0929107442498207,0.0929107442498207,-0.001,-0.0029,0.0019,0.0029,0.0869,0.0983,0.0755,-0.005389518610603619,0.017411007110245,0.0007,,,0.0942,0.0846,67.626,51.8519,70.3451
1981-03-25,AAPL,0.0920383732411345,0.0920383732411345,0.0911652445793151,0.0911652445793151,-0.0007,-0.0024,0.0017,0.0028,0.087,0.0985,0.0755,-0.007377225466875664,0.01570771462550588,0.001,,,0.0942,0.089,68.9048,50.0,55.574
1981-03-26,AAPL,0.0898567386264678,0.0898567386264678,0.0894205644726753,0.0894205644726753,-0.0005,-0.002,0.0015,0.0028,0.087,0.0985,0.0755,-0.00912190557351547,0.013963034518866074,0.0013,,,0.0942,0.089,68.2881,48.0,22.9522
1981-03-27,AAPL,0.0868035594926802,0.0868035594926802,0.0863673910498619,0.0863673910498619,-0.0007,-0.0018,0.0011,0.0028,0.0867,0.098,0.0754,-0.011604155668426958,0.010938937768150747,0.0012,,,0.0942,0.0894,58.685,44.0,-22.2548
1981-03-30,AAPL,0.0863673910498619,0.0872397337593864,0.0863673910498619,0.0863673910498619,-0.0008,-0.0016,0.0008,0.0026,0.0864,0.0973,0.0755,-0.010942551953106228,0.010877334052830007,0.001,,,0.0942,0.0864,51.0005,43.4783,-53.3924
1981-03-31,AAPL,0.0863673974964699,0.0863673974964699,0.0854950547218322,0.0854950547218322,-0.0009,-0.0014,0.0005,0.0025,0.0861,0.0968,0.0754,-0.01125538569168423,0.01004549513534865,0.0006,,,0.0933,0.0864,45.146,40.9091,-72.4587
1981-04-01,AAPL,0.0850588702593434,0.0850588702593434,0.0846226960420608,0.0846226960420608,-0.0011,-0.0014,0.0003,0.0024,0.0858,0.0963,0.0753,-0.011628304820778687,0.009273696904900278,0.0003,,,0.092,0.0855,40.6351,38.0952,-83.2244
